"List ID","List Title","Item Title",Link,"No Follow",Ugc,"New Tab","Sub Title","FA Icon Class","Use Favicon","Attachment ID","Attachment Title","Direct/External Image Link",Upvotes,"Item bg Color",Terms,"List Holder Color","Item Background Color","Item Background Color (Hover)","Item Text Color","Item Text Color (Hover)","Item Sub Text Color","Item Sub Text Color (Hover)","Item Border Color","Item Border Color (Hover)","List Title Color","Filter Button Background Color","Filter Button Text Color","Ad Content","List Order","Post Status","Long Description",Tags,"New (supported value  1, 0)","Featured (supported value 1, 0)","Generate Image from Website Link (supported value 1, 0)","Generate title and subtitle from Website Link (supported value 1, 0)"
27401,"Content Management","Editorial Calendar",https://wordpress.org/plugins/editorial-calendar/,1,0,1,"See all your posts and drag and drop them.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/5b855366d606e30c6b4f9421b385f9c9_sldwebsite-1.jpg,,,1226,0,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",#f6ffc1,,,,,,,,,,#004c91,#ffffff,,12,publish,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

<img class=""aligncenter size-full wp-image-28091"" src=""http://dev.quantumcloud.com/sld/wp-content/uploads/2018/02/riley-mccullough-169333.jpg"" alt="""" width=""800"" height=""278"" />

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Logo,,1,1,
27401,"Content Management","Edit Flow",https://wordpress.org/plugins/edit-flow/,1,0,1,"Redefining your editorial workflow.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/f1aa844901527afdddf37a0e33cd6c61_sldwebsite-1.jpg,,,462,#dcedc1,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Color,,,1,
27401,"Content Management","Post Forking",https://wordpress.org/plugins/post-forking/,1,0,1,"Allows users to fork or create an alternate version of content.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/0ac4d8ec27f861c08d410f51ef08ae49_sldwebsite-1.jpg,,,414,#a8e6cf,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Education,1,,1,
27401,"Content Management","Enhanced Media Library",https://www.de-baat.nl/enhanced-media-library/,1,0,1,"Manage media files.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/d85ffd428def6648f81ff12f800d16c9_sldwebsite-1.jpg,,,284,#ffd3b6,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

<img class=""aligncenter size-full wp-image-28098"" src=""http://dev.quantumcloud.com/sld/wp-content/uploads/2018/02/001.jpg"" alt="""" width=""980"" height=""380"" />

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Video,1,,1,
27401,"Content Management","Post List Featured Image",https://wordpress.org/plugins/post-list-featured-image/,1,0,1,"Add the ""Featured Image"" column in admin posts and pages list.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/7b39adbc47749515d37e71a638486e7b_sldwebsite-1.jpg,,,228,#dcedc1,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",eCommerce,,,1,
27401,"Content Management","Design Approval System",https://wordpress.org/plugins/design-approval-system/,1,0,1,"A project management system.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/9a676a5f33795c1708b8d6cf2e79b5b1_sldwebsite-1.jpg,,,184,0,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Maps,,,1,
27401,"Content Management","Organize Series",https://wordpress.org/plugins/organize-series/,1,0,1,"A plugin for managing the article series you write.",,1,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/0ce835221b2a680be5384c35512d7ea3_sldwebsite-1.jpg,,,201,0,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

<img class=""aligncenter size-full wp-image-28100"" src=""http://dev.quantumcloud.com/sld/wp-content/uploads/2018/02/dock.jpg"" alt="""" width=""960"" height=""360"" />

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Design,,,1,
27401,"Content Management","My Content Management",https://wordpress.org/plugins/my-content-management/,1,0,1,"Creates common custom post types for advanced content management.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/ad9f91bbd4c7e4e38fa8ae01f72ba795_sldwebsite-1.jpg,,,239,#dcedc1,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",eCommerce,,,1,
27401,"Content Management",WordPress,http://www.wordpress.org,1,0,1,"Blog Tool, Publishing Platform and CMS.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/617c5483e52896156bc8a348273b42c1_sldwebsite-1.jpg,,,248,#ffd3b6,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Maps,,,1,
27401,"Content Management",Joomla!,https://www.joomla.org/,1,0,1,"The CMS Trusted By Millions for their Websites.",,0,https://dev.quantumcloud.com/sld/wp-content/uploads/2018/07/f3f710f5ae267f4cb74ad64594c1d0bb_sldwebsite-1.jpg,,,123,#a8e6cf,"Design Resources, Programmer Resources, Wordpress Plugins, WordPress Resources",,,,,,,,,,,,,,12,,"Tesla’s Elon Musk says that advances in Artificial Intelligence present a “fundamental risk to the existence of civilization.” Salesforce CEO Marc Benioff believes Facebook ought to be regulated like a tobacco company because social media has become (literally?) carcinogenic. And Russian zillionaire George Soros last week called Google “a menace to society.”

Eschewing much of the over-the-top luddism that now fills the New York Times (“Silicon Valley is Not Your Friends”), the Guardian (“The Tech Insiders Who Fear a Smartphone Dystopia”), and other mainstream media outlets, Keen proffers practical solutions to a wide range of tech-related woes. These include persistent public and private surveillance, labor displacement, and fake news.",Design,,,1,
